"geneNID"	"geneId"	"geneNmea"	"geneDescription"	"pLI"	"DSI"	"DPI"
"33"	"39"	"ACAT2"	"acetyl-CoA acetyltransferase 2"	"5.5303e-07"	"0.686"	"0.462"
"34"	"40"	"ASIC2"	"acid sensing ion channel subunit 2"	"0.99912"	"0.653"	"0.538"
"35"	"41"	"ASIC1"	"acid sensing ion channel subunit 1"	"0.93017"	"0.653"	"0.615"
"36"	"43"	"ACHE"	"acetylcholinesterase (Cartwright blood group)"	"0.99827"	"0.445"	"0.885"
"37"	"46"	"ACLS"	"acrocallosal syndrome"		"0.931"	"0.154"
"38"	"47"	"ACLY"	"ATP citrate lyase"	"0.083556"	"0.563"	"0.692"
"39"	"48"	"ACO1"	"aconitase 1"	"3.8322e-18"	"0.628"	"0.577"
"40"	"49"	"ACR"	"acrosin"	"0.012215"	"0.493"	"0.846"
"41"	"50"	"ACO2"	"aconitase 2"	"0.20791"	"0.619"	"0.654"
"42"	"51"	"ACOX1"	"acyl-CoA oxidase 1"	"0.062095"	"0.61"	"0.731"
"43"	"52"	"ACP1"	"acid phosphatase 1"	"1.7531e-08"	"0.566"	"0.731"
"44"	"53"	"ACP2"	"acid phosphatase 2, lysosomal"	"6.2383e-05"	"0.78"	"0.346"
"45"	"54"	"ACP5"	"acid phosphatase 5, tartrate resistant"	"0.078651"	"0.561"	"0.731"
"46"	"55"	"ACP3"	"acid phosphatase 3"	"2.5463e-16"	"0.525"	"0.731"
"47"	"56"	"ACRV1"	"acrosomal vesicle protein 1"	"1.2111e-06"	"1"	"0.077"
"48"	"58"	"ACTA1"	"actin alpha 1, skeletal muscle"	"1.1385e-06"	"0.54"	"0.769"
"49"	"59"	"ACTA2"	"actin alpha 2, smooth muscle"	"0.93017"	"0.508"	"0.846"
"50"	"60"	"ACTB"	"actin beta"	"0.98564"	"0.325"	"0.923"
"51"	"62"	"ACTBP2"	"ACTB pseudogene 2"		"0.861"	"0.077"
"52"	"70"	"ACTC1"	"actin alpha cardiac muscle 1"	"0.73668"	"0.61"	"0.538"
"53"	"71"	"ACTG1"	"actin gamma 1"	"0.0047837"	"0.477"	"0.846"
"54"	"72"	"ACTG2"	"actin gamma 2, smooth muscle"	"0.071036"	"0.505"	"0.808"
"55"	"81"	"ACTN4"	"actinin alpha 4"	"1"	"0.508"	"0.808"
"56"	"86"	"ACTL6A"	"actin like 6A"	"0.99665"	"0.678"	"0.346"
"57"	"87"	"ACTN1"	"actinin alpha 1"	"0.99997"	"0.695"	"0.577"
"58"	"88"	"ACTN2"	"actinin alpha 2"	"0.99968"	"0.686"	"0.462"
"59"	"89"	"ACTN3"	"actinin alpha 3 (gene/pseudogene)"		"0.663"	"0.5"
"60"	"90"	"ACVR1"	"activin A receptor type 1"	"0.3254"	"0.535"	"0.731"
"61"	"91"	"ACVR1B"	"activin A receptor type 1B"	"0.99969"	"0.663"	"0.385"
"62"	"92"	"ACVR2A"	"activin A receptor type 2A"	"0.99972"	"0.636"	"0.615"
"63"	"93"	"ACVR2B"	"activin A receptor type 2B"	"0.83412"	"0.601"	"0.615"
"64"	"94"	"ACVRL1"	"activin A receptor like type 1"	"0.00096719"	"0.493"	"0.769"
"65"	"95"	"ACY1"	"aminoacylase 1"	"6.9169e-09"	"0.653"	"0.577"
"66"	"97"	"ACYP1"	"acylphosphatase 1"	"0.070318"		
"67"	"98"	"ACYP2"	"acylphosphatase 2"	"6.5331e-05"	"0.659"	"0.577"
"68"	"100"	"ADA"	"adenosine deaminase"	"2.8825e-12"	"0.44"	"0.885"
"69"	"101"	"ADAM8"	"ADAM metallopeptidase domain 8"	"2.1983e-14"	"0.59"	"0.731"
"70"	"102"	"ADAM10"	"ADAM metallopeptidase domain 10"	"1"	"0.489"	"0.846"
"71"	"103"	"ADAR"	"adenosine deaminase RNA specific"	"0.026282"	"0.501"	"0.808"
"72"	"104"	"ADARB1"	"adenosine deaminase RNA specific B1"	"0.80347"	"0.588"	"0.654"
"73"	"105"	"ADARB2"	"adenosine deaminase RNA specific B2 (inactive)"	"0.85603"	"0.716"	"0.308"
"74"	"106"	"ADCP1"	"adenosine deaminase complexing protein 1"		"0.89"	"0.154"
"75"	"107"	"ADCY1"	"adenylate cyclase 1"	"0.99747"	"0.659"	"0.462"
"76"	"108"	"ADCY2"	"adenylate cyclase 2"	"0.99898"	"0.695"	"0.308"
"77"	"109"	"ADCY3"	"adenylate cyclase 3"	"1.9545e-11"	"0.678"	"0.615"
"78"	"111"	"ADCY5"	"adenylate cyclase 5"	"0.99928"	"0.617"	"0.577"
"79"	"112"	"ADCY6"	"adenylate cyclase 6"	"0.0058268"	"0.729"	"0.5"
"80"	"113"	"ADCY7"	"adenylate cyclase 7"	"9.4815e-07"	"0.656"	"0.462"
"81"	"114"	"ADCY8"	"adenylate cyclase 8"	"1.7766e-06"	"0.705"	"0.577"
"82"	"115"	"ADCY9"	"adenylate cyclase 9"	"0.97943"	"0.682"	"0.538"
"83"	"116"	"ADCYAP1"	"adenylate cyclase activating polypeptide 1"	"0.52424"	"0.51"	"0.846"
"84"	"117"	"ADCYAP1R1"	"ADCYAP receptor type I"	"7.2275e-10"	"0.561"	"0.769"
"85"	"118"	"ADD1"	"adducin 1"	"0.9883"	"0.612"	"0.615"
"86"	"119"	"ADD2"	"adducin 2"	"0.9961"	"0.678"	"0.615"
"87"	"120"	"ADD3"	"adducin 3"	"0.9988"	"0.641"	"0.5"
"88"	"123"	"PLIN2"	"perilipin 2"	"7.5281e-09"	"0.564"	"0.692"
"89"	"124"	"ADH1A"	"alcohol dehydrogenase 1A (class I), alpha polypeptide"	"1.7118e-11"	"0.647"	"0.577"
"90"	"125"	"ADH1B"	"alcohol dehydrogenase 1B (class I), beta polypeptide"	"9.934e-07"	"0.502"	"0.846"
"91"	"126"	"ADH1C"	"alcohol dehydrogenase 1C (class I), gamma polypeptide"		"0.547"	"0.731"
"92"	"127"	"ADH4"	"alcohol dehydrogenase 4 (class II), pi polypeptide"	"8.0684e-07"	"0.641"	"0.462"
"93"	"128"	"ADH5"	"alcohol dehydrogenase 5 (class III), chi polypeptide"	"2.5356e-11"	"0.604"	"0.731"
"94"	"130"	"ADH6"	"alcohol dehydrogenase 6 (class V)"	"1.6373e-06"	"0.78"	"0.231"
"95"	"131"	"ADH7"	"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide"	"1.5123e-11"	"0.656"	"0.462"
"96"	"132"	"ADK"	"adenosine kinase"	"0.00031276"	"0.584"	"0.769"
"97"	"133"	"ADM"	"adrenomedullin"	"0.040831"	"0.436"	"0.808"
"98"	"134"	"ADORA1"	"adenosine A1 receptor"	"0.015215"	"0.578"	"0.692"
"99"	"135"	"ADORA2A"	"adenosine A2a receptor"	"0.5971"	"0.526"	"0.769"
"100"	"136"	"ADORA2B"	"adenosine A2b receptor"	"1.7674e-05"	"0.617"	"0.692"
"101"	"140"	"ADORA3"	"adenosine A3 receptor"	"0.0001441"	"0.682"	"0.5"
"102"	"141"	"ADPRH"	"ADP-ribosylarginine hydrolase"	"2.991e-06"	"0.805"	"0.231"
"103"	"142"	"PARP1"	"poly(ADP-ribose) polymerase 1"	"0.00033366"	"0.389"	"0.923"
"104"	"143"	"PARP4"	"poly(ADP-ribose) polymerase family member 4"	"4.8204e-27"	"0.729"	"0.269"
"105"	"146"	"ADRA1D"	"adrenoceptor alpha 1D"	"4.0117e-05"	"0.636"	"0.731"
"106"	"147"	"ADRA1B"	"adrenoceptor alpha 1B"	"0.13541"	"0.686"	"0.5"
"107"	"148"	"ADRA1A"	"adrenoceptor alpha 1A"	"3.3722e-07"	"0.462"	"0.846"
"108"	"150"	"ADRA2A"	"adrenoceptor alpha 2A"	"0.00081816"	"0.578"	"0.615"
"109"	"151"	"ADRA2B"	"adrenoceptor alpha 2B"	"4.4533e-06"	"0.465"	"0.846"
"110"	"152"	"ADRA2C"	"adrenoceptor alpha 2C"	"0.50159"	"0.682"	"0.346"
"111"	"153"	"ADRB1"	"adrenoceptor beta 1"	"2.8786e-06"	"0.555"	"0.769"
"112"	"154"	"ADRB2"	"adrenoceptor beta 2"	"0.52545"	"0.442"	"0.923"
"113"	"155"	"ADRB3"	"adrenoceptor beta 3"	"2.4637e-07"	"0.532"	"0.731"
"114"	"156"	"GRK2"	"G protein-coupled receptor kinase 2"	"0.99998"	"0.532"	"0.654"
"115"	"157"	"GRK3"	"G protein-coupled receptor kinase 3"	"0.71059"	"0.621"	"0.731"
"116"	"158"	"ADSL"	"adenylosuccinate lyase"	"8.9207e-12"	"0.631"	"0.654"
"117"	"159"	"ADSS2"	"adenylosuccinate synthase 2"	"0.32971"	"0.839"	"0.308"
"118"	"160"	"AP2A1"	"adaptor related protein complex 2 subunit alpha 1"	"1"	"0.641"	"0.5"
"119"	"161"	"AP2A2"	"adaptor related protein complex 2 subunit alpha 2"	"1"	"0.76"	"0.423"
"120"	"162"	"AP1B1"	"adaptor related protein complex 1 subunit beta 1"	"0.99828"	"0.716"	"0.385"
"121"	"163"	"AP2B1"	"adaptor related protein complex 2 subunit beta 1"	"0.9983"	"0.711"	"0.423"
"122"	"164"	"AP1G1"	"adaptor related protein complex 1 subunit gamma 1"	"0.99998"	"0.89"	"0.115"
"123"	"165"	"AEBP1"	"AE binding protein 1"	"7.3471e-11"	"0.631"	"0.654"
"124"	"166"	"TLE5"	"TLE family member 5, transcriptional modulator"	"0.93594"	"0.695"	"0.538"
"125"	"167"	"CRISP1"	"cysteine rich secretory protein 1"	"1.8344e-06"	"0.78"	"0.231"
"126"	"170"	"AFA"	"ankyloblepharon filiforme adnatum"		"0.792"	"0.462"
"127"	"172"	"AFG3L1P"	"AFG3 like matrix AAA peptidase subunit 1, pseudogene"		"0.931"	"0.115"
"128"	"173"	"AFM"	"afamin"	"4.2654e-19"	"0.59"	"0.731"
"129"	"174"	"AFP"	"alpha fetoprotein"	"1.1383e-11"	"0.429"	"0.885"
"130"	"175"	"AGA"	"aspartylglucosaminidase"	"4.2802e-06"	"0.57"	"0.808"
"131"	"176"	"ACAN"	"aggrecan"	"1"	"0.528"	"0.846"
"132"	"177"	"AGER"	"advanced glycosylation end-product specific receptor"	"6.3528e-16"	"0.42"	"0.885"
"133"	"178"	"AGL"	"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase"	"2.7564e-27"	"0.644"	"0.615"
"134"	"181"	"AGRP"	"agouti related neuropeptide"	"0.00069912"	"0.488"	"0.769"
"135"	"182"	"JAG1"	"jagged canonical Notch ligand 1"	"1"	"0.429"	"0.808"
"136"	"183"	"AGT"	"angiotensinogen"	"4.9706e-08"	"0.367"	"0.923"
"137"	"185"	"AGTR1"	"angiotensin II receptor type 1"	"0.00053161"	"0.423"	"0.846"
"138"	"186"	"AGTR2"	"angiotensin II receptor type 2"	"0.0082345"	"0.496"	"0.808"
"139"	"187"	"APLNR"	"apelin receptor"	"0.78907"	"0.588"	"0.692"
"140"	"189"	"AGXT"	"alanine--glyoxylate and serine--pyruvate aminotransferase"	"1.2332e-07"	"0.593"	"0.731"
"141"	"190"	"NR0B1"	"nuclear receptor subfamily 0 group B member 1"	"0.97025"	"0.494"	"0.808"
"142"	"191"	"AHCY"	"adenosylhomocysteinase"	"0.035922"	"0.582"	"0.692"
"143"	"192"	"AIC"	"Aicardi syndrome"		"0.729"	"0.462"
"144"	"196"	"AHR"	"aryl hydrocarbon receptor"	"0.99999"	"0.41"	"0.923"
"145"	"197"	"AHSG"	"alpha 2-HS glycoprotein"	"3.209e-10"	"0.506"	"0.846"
"146"	"199"	"AIF1"	"allograft inflammatory factor 1"	"1.8793e-06"	"0.521"	"0.808"
"147"	"202"	"CRYBG1"	"crystallin beta-gamma domain containing 1"	"3.5143e-33"	"0.743"	"0.462"
"148"	"203"	"AK1"	"adenylate kinase 1"	"0.027319"	"0.711"	"0.5"
"149"	"204"	"AK2"	"adenylate kinase 2"	"6.2706e-05"	"0.678"	"0.423"
"150"	"205"	"AK4"	"adenylate kinase 4"	"0.13353"	"0.705"	"0.462"
"151"	"207"	"AKT1"	"AKT serine/threonine kinase 1"	"0.9759"	"0.311"	"0.962"
"152"	"208"	"AKT2"	"AKT serine/threonine kinase 2"	"0.64432"	"0.474"	"0.769"
"153"	"210"	"ALAD"	"aminolevulinate dehydratase"	"5.6185e-05"	"0.556"	"0.615"
"154"	"211"	"ALAS1"	"5'-aminolevulinate synthase 1"	"0.10979"	"0.705"	"0.462"
"155"	"212"	"ALAS2"	"5'-aminolevulinate synthase 2"	"0.99586"	"0.606"	"0.577"
"156"	"213"	"ALB"	"albumin"	"0.64329"	"0.317"	"0.962"
"157"	"214"	"ALCAM"	"activated leukocyte cell adhesion molecule"	"0.73267"	"0.502"	"0.808"
"158"	"215"	"ABCD1"	"ATP binding cassette subfamily D member 1"	"0.99896"	"0.563"	"0.731"
"159"	"216"	"ALDH1A1"	"aldehyde dehydrogenase 1 family member A1"	"0.95448"	"0.46"	"0.846"
"160"	"217"	"ALDH2"	"aldehyde dehydrogenase 2 family member"	"3.3959e-10"	"0.457"	"0.885"
"161"	"218"	"ALDH3A1"	"aldehyde dehydrogenase 3 family member A1"	"3.9013e-17"	"0.641"	"0.577"
"162"	"219"	"ALDH1B1"	"aldehyde dehydrogenase 1 family member B1"	"2.6981e-06"	"0.691"	"0.462"
"163"	"220"	"ALDH1A3"	"aldehyde dehydrogenase 1 family member A3"	"0.14128"	"0.578"	"0.654"
"164"	"221"	"ALDH3B1"	"aldehyde dehydrogenase 3 family member B1"	"6.2437e-06"	"0.821"	"0.346"
"165"	"222"	"ALDH3B2"	"aldehyde dehydrogenase 3 family member B2"	"3.1881e-13"	"1"	"0.077"
"166"	"223"	"ALDH9A1"	"aldehyde dehydrogenase 9 family member A1"	"1.0995e-11"	"0.76"	"0.269"
"167"	"224"	"ALDH3A2"	"aldehyde dehydrogenase 3 family member A2"	"9.4055e-06"	"0.619"	"0.769"
"168"	"225"	"ABCD2"	"ATP binding cassette subfamily D member 2"	"4.7079e-06"	"0.711"	"0.5"
"169"	"226"	"ALDOA"	"aldolase, fructose-bisphosphate A"	"0.0013228"	"0.631"	"0.615"
"170"	"229"	"ALDOB"	"aldolase, fructose-bisphosphate B"	"7.8786e-07"	"0.623"	"0.538"
"171"	"230"	"ALDOC"	"aldolase, fructose-bisphosphate C"	"0.092245"	"0.78"	"0.231"
"172"	"231"	"AKR1B1"	"aldo-keto reductase family 1 member B"	"2.0216e-05"	"0.491"	"0.885"
"173"	"236"	"AKR1B1P2"	"aldo-keto reductase family 1 member B1 pseudogene 2"		"1"	"0.154"
"174"	"238"	"ALK"	"ALK receptor tyrosine kinase"	"3.2299e-06"	"0.396"	"0.846"
"175"	"239"	"ALOX12"	"arachidonate 12-lipoxygenase, 12S type"	"1.4397e-15"	"0.558"	"0.692"
"176"	"240"	"ALOX5"	"arachidonate 5-lipoxygenase"	"1.2059e-06"	"0.447"	"0.885"
"177"	"241"	"ALOX5AP"	"arachidonate 5-lipoxygenase activating protein"	"0.070729"	"0.612"	"0.731"
"178"	"242"	"ALOX12B"	"arachidonate 12-lipoxygenase, 12R type"	"0.00075626"	"0.603"	"0.577"
"179"	"243"	"ALOX12P1"	"arachidonate 12-lipoxygenase pseudogene 1"			
"180"	"245"	"ALOX12P2"	"arachidonate 12-lipoxygenase pseudogene 2"		"1"	"0.038"
"181"	"246"	"ALOX15"	"arachidonate 15-lipoxygenase"	"1.1397e-23"	"0.502"	"0.846"
"182"	"247"	"ALOX15B"	"arachidonate 15-lipoxygenase type B"	"1.4819e-18"	"0.663"	"0.462"
"183"	"248"	"ALPI"	"alkaline phosphatase, intestinal"	"2.4527e-18"	"0.563"	"0.769"
"184"	"249"	"ALPL"	"alkaline phosphatase, biomineralization associated"	"0.0003636"	"0.546"	"0.769"
"185"	"250"	"ALPP"	"alkaline phosphatase, placental"	"1.8144e-13"	"0.487"	"0.808"
"186"	"251"	"ALPG"	"alkaline phosphatase, germ cell"	"1.4933e-11"	"0.691"	"0.269"
"187"	"253"	"ALS3"	"amyotrophic lateral sclerosis 3 (autosomal dominant)"		"0.839"	"0.231"
"188"	"257"	"ALX3"	"ALX homeobox 3"	"0.019117"	"0.578"	"0.692"
"189"	"258"	"AMBN"	"ameloblastin"	"1.0497e-09"	"0.716"	"0.231"
"190"	"259"	"AMBP"	"alpha-1-microglobulin/bikunin precursor"	"2.7886e-13"	"0.537"	"0.731"
"191"	"261"	"AMCN"	"arthrogryposis multiplex congenita, neurogenic"		"0.682"	"0.615"
"192"	"262"	"AMD1"	"adenosylmethionine decarboxylase 1"	"0.98227"	"0.593"	"0.577"
"193"	"263"	"AMD1P2"	"adenosylmethionine decarboxylase 1 pseudogene 2"		"0.608"	"0.538"
"194"	"265"	"AMELX"	"amelogenin X-linked"	"0.074507"	"0.599"	"0.769"
"195"	"266"	"AMELY"	"amelogenin Y-linked"	"8.3683e-05"	"0.743"	"0.269"
"196"	"267"	"AMFR"	"autocrine motility factor receptor"	"5.8368e-05"	"0.599"	"0.692"
"197"	"268"	"AMH"	"anti-Mullerian hormone"	"3.3974e-12"	"0.476"	"0.846"
"198"	"269"	"AMHR2"	"anti-Mullerian hormone receptor type 2"	"2.7013e-10"	"0.638"	"0.423"
"199"	"270"	"AMPD1"	"adenosine monophosphate deaminase 1"	"1.9099e-21"	"0.573"	"0.692"
"200"	"271"	"AMPD2"	"adenosine monophosphate deaminase 2"	"4.5084e-07"	"0.663"	"0.577"
"201"	"272"	"AMPD3"	"adenosine monophosphate deaminase 3"	"1.1323e-12"	"0.743"	"0.385"
"202"	"273"	"AMPH"	"amphiphysin"	"1.7006e-05"	"0.653"	"0.462"
"203"	"274"	"BIN1"	"bridging integrator 1"	"0.77822"	"0.55"	"0.692"
"204"	"275"	"AMT"	"aminomethyltransferase"	"0.0027214"	"0.674"	"0.692"
"205"	"276"	"AMY1A"	"amylase alpha 1A"	"0.00032325"	"0.644"	"0.731"
"206"	"277"	"AMY1B"	"amylase alpha 1B"	"0.00060271"	"0.647"	"0.731"
"207"	"278"	"AMY1C"	"amylase alpha 1C"	"0.0033974"	"0.647"	"0.731"
"208"	"279"	"AMY2A"	"amylase alpha 2A"	"8.5411e-12"	"0.716"	"0.423"
"209"	"280"	"AMY2B"	"amylase alpha 2B"	"5.8844e-30"	"0.821"	"0.269"
"210"	"282"	"ANCR"	"Angelman syndrome chromosome region"		"0.751"	"0.154"
"211"	"283"	"ANG"	"angiogenin"	"0.28738"	"0.511"	"0.769"
"212"	"284"	"ANGPT1"	"angiopoietin 1"	"0.95208"	"0.446"	"0.808"
"213"	"285"	"ANGPT2"	"angiopoietin 2"	"0.83208"	"0.41"	"0.846"
"214"	"286"	"ANK1"	"ankyrin 1"	"1"	"0.54"	"0.885"
"215"	"287"	"ANK2"	"ankyrin 2"	"1"	"0.626"	"0.538"
"216"	"288"	"ANK3"	"ankyrin 3"	"1"	"0.578"	"0.654"
"217"	"289"	"ANOP1"	"anophthalmos 1 (with mental retardation, without limb anomalies or dental or urogenital abnormalities)"		"0.89"	"0.154"
"218"	"290"	"ANPEP"	"alanyl aminopeptidase, membrane"	"3.7492e-09"	"0.462"	"0.769"
"219"	"291"	"SLC25A4"	"solute carrier family 25 member 4"	"0.45334"	"0.568"	"0.692"
"220"	"292"	"SLC25A5"	"solute carrier family 25 member 5"	"0.93194"	"0.736"	"0.346"
"221"	"293"	"SLC25A6"	"solute carrier family 25 member 6"	"0.13859"	"0.769"	"0.231"
"222"	"301"	"ANXA1"	"annexin A1"	"1.2009e-07"	"0.442"	"0.885"
"223"	"302"	"ANXA2"	"annexin A2"	"9.7728e-05"	"0.453"	"0.808"
"224"	"304"	"ANXA2P2"	"annexin A2 pseudogene 2"		"1"	"0.077"
"225"	"305"	"ANXA2P3"	"annexin A2 pseudogene 3"		"0.931"	"0.077"
"226"	"306"	"ANXA3"	"annexin A3"	"6.5152e-12"	"0.61"	"0.615"
"227"	"307"	"ANXA4"	"annexin A4"	"1.1858e-08"	"0.599"	"0.692"
"228"	"308"	"ANXA5"	"annexin A5"	"3.7978e-15"	"0.458"	"0.769"
"229"	"309"	"ANXA6"	"annexin A6"	"1.0804e-08"	"0.514"	"0.846"
"230"	"310"	"ANXA7"	"annexin A7"	"8.5846e-10"	"0.631"	"0.615"
"231"	"311"	"ANXA11"	"annexin A11"	"4.7001e-10"	"0.65"	"0.692"
"232"	"312"	"ANXA13"	"annexin A13"	"4.2441e-10"	"0.722"	"0.538"
"233"	"313"	"AOAH"	"acyloxyacyl hydrolase"	"4.3783e-14"	"0.722"	"0.462"
"234"	"314"	"AOC2"	"amine oxidase copper containing 2"	"3.2599e-15"	"0.674"	"0.654"
"235"	"316"	"AOX1"	"aldehyde oxidase 1"	"1.171e-31"	"0.716"	"0.308"
"236"	"317"	"APAF1"	"apoptotic peptidase activating factor 1"	"9.6242e-06"	"0.525"	"0.769"
"237"	"318"	"NUDT2"	"nudix hydrolase 2"	"0.0057495"	"0.78"	"0.154"
"238"	"319"	"APOF"	"apolipoprotein F"	"0.010295"	"0.805"	"0.231"
"239"	"320"	"APBA1"	"amyloid beta precursor protein binding family A member 1"	"0.53701"	"0.743"	"0.346"
"240"	"321"	"APBA2"	"amyloid beta precursor protein binding family A member 2"	"0.74272"	"0.7"	"0.385"
"241"	"322"	"APBB1"	"amyloid beta precursor protein binding family B member 1"	"0.96811"	"0.722"	"0.346"
"242"	"323"	"APBB2"	"amyloid beta precursor protein binding family B member 2"	"0.065197"	"0.76"	"0.231"
"243"	"324"	"APC"	"APC regulator of WNT signaling pathway"	"1"	"0.373"	"0.962"
"244"	"325"	"APCS"	"amyloid P component, serum"	"0.031714"	"0.531"	"0.808"
"245"	"326"	"AIRE"	"autoimmune regulator"	"4.0468e-12"	"0.516"	"0.808"
"246"	"327"	"APEH"	"acylaminoacyl-peptide hydrolase"	"5.0018e-13"	"0.666"	"0.577"
"247"	"328"	"APEX1"	"apurinic/apyrimidinic endodeoxyribonuclease 1"	"1.9191e-07"	"0.458"	"0.846"
"248"	"329"	"BIRC2"	"baculoviral IAP repeat containing 2"	"0.42708"	"0.535"	"0.731"
"249"	"330"	"BIRC3"	"baculoviral IAP repeat containing 3"	"0.065597"	"0.491"	"0.769"
"250"	"331"	"XIAP"	"X-linked inhibitor of apoptosis"	"0.91837"	"0.447"	"0.808"
"251"	"332"	"BIRC5"	"baculoviral IAP repeat containing 5"	"0.055854"	"0.495"	"0.731"
"252"	"333"	"APLP1"	"amyloid beta precursor like protein 1"	"0.12235"	"0.76"	"0.308"
"253"	"334"	"APLP2"	"amyloid beta precursor like protein 2"	"0.37966"	"0.659"	"0.462"
"254"	"335"	"APOA1"	"apolipoprotein A1"	"0.00054909"	"0.429"	"0.885"
"255"	"336"	"APOA2"	"apolipoprotein A2"	"0.0448"	"0.582"	"0.769"
"256"	"337"	"APOA4"	"apolipoprotein A4"	"5.4536e-06"	"0.582"	"0.577"
"257"	"338"	"APOB"	"apolipoprotein B"	"1.9234e-16"	"0.453"	"0.808"
"258"	"339"	"APOBEC1"	"apolipoprotein B mRNA editing enzyme catalytic subunit 1"	"1.6791e-08"	"0.647"	"0.385"
"259"	"341"	"APOC1"	"apolipoprotein C1"	"0.21685"	"0.581"	"0.577"
"260"	"342"	"APOC1P1"	"apolipoprotein C1 pseudogene 1"		"0.89"	"0.154"
"261"	"343"	"AQP8"	"aquaporin 8"	"0.00036707"	"0.638"	"0.615"
"262"	"344"	"APOC2"	"apolipoprotein C2"	"0.40164"	"0.606"	"0.577"
"263"	"345"	"APOC3"	"apolipoprotein C3"	"0.010024"	"0.531"	"0.731"
"264"	"346"	"APOC4"	"apolipoprotein C4"	"8.893e-08"	"0.743"	"0.385"
"265"	"347"	"APOD"	"apolipoprotein D"	"0.00054449"	"0.584"	"0.577"
"266"	"348"	"APOE"	"apolipoprotein E"	"0.0018685"	"0.338"	"0.962"
"267"	"350"	"APOH"	"apolipoprotein H"	"1.5614e-15"	"0.563"	"0.769"
"268"	"351"	"APP"	"amyloid beta precursor protein"	"0.046544"	"0.422"	"0.846"
"269"	"353"	"APRT"	"adenine phosphoribosyltransferase"	"5.4539e-13"	"0.423"	"0.846"
