"diseaseNID"	"diseaseId"	"diseaseName"	"type"
"115"	"C0002351"	"Altitude Sickness"	"phenotype"
"116"	"C0002382"	"Alveolar Bone Loss"	"disease"
"117"	"C0002390"	"Extrinsic allergic alveolitis"	"group"
"118"	"C0002395"	"Alzheimer's Disease"	"disease"
"119"	"C0002418"	"Amblyopia"	"phenotype"
"120"	"C0002438"	"Amebiasis"	"disease"
"121"	"C0002447"	"Amelia"	"disease"
"122"	"C0002448"	"Ameloblastoma"	"disease"
"123"	"C0002452"	"Amelogenesis Imperfecta"	"disease"
"124"	"C0002453"	"Amenorrhea"	"phenotype"
"125"	"C0002514"	"Amino Acid Metabolism, Inborn Errors"	"group"
"126"	"C0002534"	"Renal Aminoacidurias"	"group"
"127"	"C0002622"	"Amnesia"	"disease"
"128"	"C0002623"	"Post-traumatic amnesia"	"disease"
"129"	"C0002624"	"Retrograde amnesia"	"disease"
"130"	"C0002625"	"Amnestic Disorder"	"disease"
"131"	"C0002631"	"Infection of amniotic cavity"	"disease"
"132"	"C0002690"	"Amputation Stumps"	"disease"
"133"	"C0002726"	"Amyloidosis"	"disease"
"134"	"C0002735"	"Oppenheim's Disease"	"disease"
"135"	"C0002736"	"Amyotrophic Lateral Sclerosis"	"disease"
"136"	"C0002768"	"Congenital Pain Insensitivity"	"disease"
"137"	"C0002792"	"anaphylaxis"	"phenotype"
"138"	"C0002793"	"Anaplasia"	"disease"
"139"	"C0002797"	"Bovine Anaplasmosis"	"disease"
"140"	"C0002831"	"Ancylostomiasis"	"disease"
"141"	"C0002871"	"Anemia"	"disease"
"142"	"C0002873"	"Anemia of chronic disease"	"phenotype"
"143"	"C0002874"	"Aplastic Anemia"	"disease"
"144"	"C0002875"	"Cooley's anemia"	"disease"
"145"	"C0002876"	"Congenital dyserythropoietic anemia"	"disease"
"146"	"C0002878"	"Anemia, Hemolytic"	"disease"
"147"	"C0002879"	"Anemia, Hemolytic, Acquired"	"disease"
"148"	"C0002880"	"Autoimmune hemolytic anemia"	"disease"
"149"	"C0002881"	"Anemia, Hemolytic, Congenital"	"disease"
"150"	"C0002882"	"Anemia, Hemolytic, Congenital Nonspherocytic"	"disease"
"151"	"C0002883"	"Anemia, Hemolytic, Idiopathic Acquired"	"disease"
"152"	"C0002884"	"Hypochromic anemia"	"disease"
"153"	"C0002886"	"Anemia, Macrocytic"	"disease"
"154"	"C0002888"	"Anemia, Megaloblastic"	"disease"
"155"	"C0002889"	"Anemia, Microangiopathic"	"disease"
"156"	"C0002890"	"Leukoerythroblastic Anemia"	"disease"
"157"	"C0002891"	"Anemia, Neonatal"	"disease"
"158"	"C0002892"	"Anemia, Pernicious"	"disease"
"159"	"C0002893"	"Refractory anemias"	"disease"
"160"	"C0002894"	"Refractory anaemia with excess blasts"	"disease"
"161"	"C0002895"	"Anemia, Sickle Cell"	"disease"
"162"	"C0002896"	"Sideroblastic anemia"	"disease"
"163"	"C0002897"	"Anemia, Splenic"	"disease"
"164"	"C0002902"	"Anencephaly"	"disease"
"165"	"C0002938"	"Aneuploidy"	"phenotype"
"166"	"C0002940"	"Aneurysm"	"disease"
"167"	"C0002949"	"Aneurysm, Dissecting"	"disease"
"168"	"C0002957"	"Anger"	"phenotype"
"169"	"C0002959"	"Angiectasis"	"disease"
"170"	"C0002962"	"Angina Pectoris"	"phenotype"
"171"	"C0002963"	"Angina Pectoris, Variant"	"disease"
"172"	"C0002965"	"Angina, Unstable"	"disease"
"173"	"C0002982"	"Angioid Streaks"	"disease"
"174"	"C0002985"	"Angiokeratoma"	"disease"
"175"	"C0002986"	"Fabry Disease"	"disease"
"176"	"C0002989"	"Epithelioid hemangioma of skin"	"disease"
"177"	"C0002991"	"Cutaneous Fibrous Histiocytoma"	"disease"
"178"	"C0002992"	"Angiomatosis"	"disease"
"179"	"C0002994"	"Angioedema"	"phenotype"
"180"	"C0003028"	"Anhidrosis"	"disease"
"181"	"C0003076"	"Aniridia"	"disease"
"182"	"C0003078"	"Aniseikonia"	"phenotype"
"183"	"C0003079"	"Anisocoria"	"phenotype"
"184"	"C0003081"	"Anisometropia"	"disease"
"185"	"C0003089"	"Ankylosing spondylitis and other inflammatory spondylopathies"	"disease"
"186"	"C0003090"	"Ankylosis"	"phenotype"
"187"	"C0003113"	"Anomia"	"disease"
"188"	"C0003119"	"Anophthalmos"	"disease"
"189"	"C0003123"	"Anorexia"	"disease"
"190"	"C0003125"	"Anorexia Nervosa"	"disease"
"191"	"C0003126"	"Anosmia"	"phenotype"
"192"	"C0003128"	"Anovulation"	"phenotype"
"193"	"C0003129"	"Anoxemia"	"phenotype"
"194"	"C0003130"	"Anoxia"	"phenotype"
"195"	"C0003132"	"Anoxic Encephalopathy"	"phenotype"
"196"	"C0003164"	"Anthracosilicosis"	"disease"
"197"	"C0003165"	"Anthracosis"	"disease"
"198"	"C0003175"	"Anthrax disease"	"disease"
"199"	"C0003177"	"Cutaneous anthrax"	"disease"
"200"	"C0003257"	"Antibody Deficiency Syndrome"	"disease"
"201"	"C0003431"	"Antisocial Personality Disorder"	"disease"
"202"	"C0003460"	"Anuria"	"phenotype"
"203"	"C0003463"	"Anus Neoplasms"	"group"
"204"	"C0003466"	"Anus, Imperforate"	"disease"
"205"	"C0003467"	"Anxiety"	"disease"
"206"	"C0003469"	"Anxiety Disorders"	"group"
"207"	"C0003477"	"Separation Anxiety Disorder"	"disease"
"208"	"C0003486"	"Aortic Aneurysm"	"disease"
"209"	"C0003492"	"Aortic coarctation"	"disease"
"210"	"C0003493"	"Aortic Diseases"	"group"
"211"	"C0003496"	"Aortic Rupture"	"disease"
"212"	"C0003499"	"Supravalvular aortic stenosis"	"disease"
"213"	"C0003504"	"Aortic Valve Insufficiency"	"disease"
"214"	"C0003507"	"Aortic Valve Stenosis"	"disease"
"215"	"C0003509"	"Aortitis"	"disease"
"216"	"C0003510"	"Aortitis Syndrome"	"disease"
"217"	"C0003516"	"Aortopulmonary Septal Defect"	"disease"
"218"	"C0003534"	"Aphakia"	"disease"
"219"	"C0003537"	"Aphasia"	"disease"
"220"	"C0003546"	"Aphasia, Acquired"	"disease"
"221"	"C0003550"	"Broca Aphasia"	"disease"
"222"	"C0003564"	"Aphonia"	"phenotype"
"223"	"C0003578"	"Apnea"	"phenotype"
"224"	"C0003614"	"Appendiceal Neoplasms"	"group"
"225"	"C0003615"	"Appendicitis"	"disease"
"226"	"C0003621"	"Appetite Disorders"	"group"
"227"	"C0003635"	"Apraxias"	"group"
"228"	"C0003650"	"Apudoma"	"disease"
"229"	"C0003706"	"Arachnodactyly"	"disease"
"230"	"C0003708"	"Arachnoiditis"	"disease"
"231"	"C0003723"	"Arbovirus Infections"	"group"
"232"	"C0003742"	"Arcus Senilis"	"disease"
"233"	"C0003756"	"Arenaviridae Infections"	"group"
"234"	"C0003803"	"Arnold Chiari Malformation"	"disease"
"235"	"C0003810"	"Sertoli-Leydig cell tumor of ovary"	"disease"
"236"	"C0003811"	"Cardiac Arrhythmia"	"phenotype"
"237"	"C0003834"	"Arterial insufficiency"	"disease"
"238"	"C0003838"	"Arterial Occlusive Diseases"	"group"
"239"	"C0003850"	"Arteriosclerosis"	"disease"
"240"	"C0003851"	"Arteriosclerosis Obliterans"	"disease"
"241"	"C0003855"	"Arteriovenous fistula"	"phenotype"
"242"	"C0003857"	"Congenital arteriovenous malformation"	"disease"
"243"	"C0003860"	"Arteritis"	"phenotype"
"244"	"C0003862"	"Arthralgia"	"phenotype"
"245"	"C0003864"	"Arthritis"	"disease"
"246"	"C0003865"	"Arthritis, Adjuvant-Induced"	"disease"
"247"	"C0003868"	"Arthritis, Gouty"	"disease"
"248"	"C0003869"	"Arthritis, Infectious"	"group"
"249"	"C0003872"	"Arthritis, Psoriatic"	"disease"
"250"	"C0003873"	"Rheumatoid Arthritis"	"disease"
"251"	"C0003875"	"Arthritis, Viral"	"disease"
"252"	"C0003886"	"Arthrogryposis"	"disease"
"253"	"C0003892"	"Neurogenic arthropathy"	"disease"
"254"	"C0003907"	"Arthus Reaction"	"disease"
"255"	"C0003910"	"Articulation Disorders"	"disease"
"256"	"C0003944"	"As If Personality"	"disease"
"257"	"C0003949"	"Asbestosis"	"disease"
"258"	"C0003950"	"Ascariasis"	"disease"
"259"	"C0003962"	"Ascites"	"phenotype"
"260"	"C0003969"	"Ascorbic Acid Deficiency"	"disease"
"261"	"C0004030"	"Aspergillosis"	"disease"
"262"	"C0004031"	"Aspergillosis, Allergic Bronchopulmonary"	"disease"
"263"	"C0004044"	"Asphyxia"	"phenotype"
"264"	"C0004045"	"Asphyxia Neonatorum"	"disease"
"265"	"C0004048"	"Inspiration function"	"phenotype"
"266"	"C0004059"	"aspirin intolerance"	"phenotype"
"267"	"C0004093"	"Asthenia"	"phenotype"
"268"	"C0004096"	"Asthma"	"disease"
"269"	"C0004099"	"Asthma, Exercise-Induced"	"disease"
"270"	"C0004106"	"Astigmatism"	"disease"
"271"	"C0004114"	"Astrocytoma"	"disease"
"272"	"C0004134"	"Ataxia"	"phenotype"
"273"	"C0004135"	"Ataxia Telangiectasia"	"disease"
"274"	"C0004138"	"Ataxias, Hereditary"	"disease"
"275"	"C0004144"	"Atelectasis"	"phenotype"
"276"	"C0004153"	"Atherosclerosis"	"disease"
"277"	"C0004158"	"Athetosis"	"phenotype"
"278"	"C0004238"	"Atrial Fibrillation"	"disease"
"279"	"C0004239"	"Atrial Flutter"	"phenotype"
"280"	"C0004245"	"Atrioventricular Block"	"disease"
"281"	"C0004269"	"Child attention deficit disorder"	"disease"
"282"	"C0004277"	"Tooth Attrition"	"disease"
"283"	"C0004310"	"Auditory Perceptual Disorders"	"group"
"284"	"C0004331"	"Auriculo-Ventricular Dissociation"	"phenotype"
"285"	"C0004352"	"Autistic Disorder"	"disease"
"286"	"C0004364"	"Autoimmune Diseases"	"group"
"287"	"C0004368"	"Autoimmune state"	"phenotype"
"288"	"C0004403"	"Autosome Abnormalities"	"group"
"289"	"C0004426"	"Sarcoma, Avian"	"disease"
"290"	"C0004444"	"Avoidant Personality Disorder"	"phenotype"
"291"	"C0004509"	"Azoospermia"	"disease"
"292"	"C0004565"	"Melanoma, B16"	"disease"
"293"	"C0004576"	"Babesiosis"	"disease"
"294"	"C0004604"	"Back Pain"	"phenotype"
"295"	"C0004606"	"Nonproliferative diabetic retinopathy"	"disease"
"296"	"C0004608"	"Retinopathy background"	"disease"
"297"	"C0004610"	"Bacteremia"	"disease"
"298"	"C0004623"	"Bacterial Infections"	"group"
"299"	"C0004626"	"Pneumonia, Bacterial"	"group"
"300"	"C0004659"	"Bacteriuria"	"phenotype"
"301"	"C0004669"	"Bacteroides Infections"	"group"
"302"	"C0004681"	"Bagassosis"	"disease"
"303"	"C0004698"	"Balkan Nephropathy"	"disease"
"304"	"C0004712"	"Balo's Concentric Sclerosis"	"disease"
"305"	"C0004763"	"Barrett Esophagus"	"disease"
"306"	"C0004771"	"Bartonella Infections"	"group"
"307"	"C0004775"	"Bartter Disease"	"disease"
"308"	"C0004779"	"Basal Cell Nevus Syndrome"	"disease"
"309"	"C0004782"	"Basal Ganglia Diseases"	"group"
"310"	"C0004903"	"Beckwith-Wiedemann Syndrome"	"disease"
"311"	"C0004930"	"Behavior Disorders"	"group"
"312"	"C0004936"	"Mental disorders"	"group"
"313"	"C0004941"	"Behavioral Symptoms"	"group"
"314"	"C0004943"	"Behcet Syndrome"	"disease"
"315"	"C0004945"	"Bejel"	"disease"
"316"	"C0004991"	"Benign neoplasm of colon"	"disease"
"317"	"C0004997"	"Benign Ovarian Neoplasm"	"disease"
"318"	"C0004998"	"Benign neoplasm of skin"	"group"
"319"	"C0005001"	"Benign prostatic hypertrophy"	"phenotype"
"320"	"C0005122"	"Beriberi"	"disease"
"321"	"C0005129"	"Bernard-Soulier Syndrome"	"disease"
"322"	"C0005136"	"Berry Aneurysm"	"disease"
"323"	"C0005138"	"Berylliosis"	"disease"
"324"	"C0005146"	"Besnoitiasis"	"disease"
"325"	"C0005283"	"beta Thalassemia"	"disease"
"326"	"C0005395"	"Bile Duct Diseases"	"group"
"327"	"C0005396"	"Bile Duct Neoplasms"	"group"
"328"	"C0005398"	"Cholestasis, Extrahepatic"	"disease"
"329"	"C0005403"	"Bile Reflux"	"disease"
"330"	"C0005411"	"Biliary Atresia"	"disease"
"331"	"C0005424"	"Biliary Tract Diseases"	"group"
"332"	"C0005426"	"Biliary Tract Neoplasm"	"disease"
"333"	"C0005586"	"Bipolar Disorder"	"disease"
"334"	"C0005587"	"Depression, Bipolar"	"disease"
"335"	"C0005612"	"Birth Weight"	"phenotype"
"336"	"C0005683"	"Urinary Bladder Calculi (disorder)"	"disease"
"337"	"C0005684"	"Malignant neoplasm of urinary bladder"	"disease"
"338"	"C0005686"	"Urinary Bladder Diseases"	"group"
"339"	"C0005689"	"Bladder Exstrophy"	"disease"
"340"	"C0005694"	"Bladder neck obstruction"	"disease"
"341"	"C0005695"	"Bladder Neoplasm"	"disease"
"342"	"C0005697"	"Neurogenic Urinary Bladder"	"disease"
"343"	"C0005699"	"Blast Phase"	"disease"
"344"	"C0005716"	"Blastomycosis"	"disease"
"345"	"C0005723"	"Oral paracoccidioidomycosis"	"disease"
"346"	"C0005741"	"Blepharitis"	"disease"
"347"	"C0005742"	"Blepharochalasis"	"disease"
"348"	"C0005744"	"Blepharophimosis"	"disease"
"349"	"C0005745"	"Blepharoptosis"	"disease"
"350"	"C0005747"	"Blepharospasm"	"disease"
"351"	"C0005750"	"Blind Loop Syndrome"	"disease"
"352"	"C0005754"	"Congenital blindness"	"disease"
"353"	"C0005758"	"Bulla"	"phenotype"
"354"	"C0005779"	"Blood Coagulation Disorders"	"group"
"355"	"C0005806"	"Blood Group Incompatibility"	"disease"
"356"	"C0005818"	"Blood Platelet Disorders"	"group"
"357"	"C0005823"	"Blood Pressure"	"phenotype"
"358"	"C0005833"	"Blood Sedimentation"	"phenotype"
"359"	"C0005845"	"Blood urea nitrogen measurement"	"phenotype"
"360"	"C0005848"	"Blood Viscosity"	"phenotype"
"361"	"C0005859"	"Bloom Syndrome"	"disease"
"362"	"C0005866"	"Bluetongue infection"	"disease"
"363"	"C0005874"	"Blushing"	"phenotype"
"364"	"C0005887"	"Body Dysmorphic Disorders"	"group"
"365"	"C0005890"	"Body Height"	"phenotype"
"366"	"C0005893"	"Body mass index procedure"	"phenotype"
"367"	"C0005899"	"Body Rocking"	"phenotype"
"368"	"C0005904"	"Body Temperature Changes"	"phenotype"
"369"	"C0005910"	"Body Weight"	"phenotype"
"370"	"C0005911"	"Body Weight Changes"	"phenotype"
"371"	"C0005937"	"Bone Cysts"	"disease"
"372"	"C0005938"	"Bone Density"	"phenotype"
"373"	"C0005940"	"Bone Diseases"	"group"
"374"	"C0005941"	"Bone Diseases, Developmental"	"group"
"375"	"C0005942"	"Bone Diseases, Endocrine"	"group"
"376"	"C0005944"	"Metabolic Bone Disorder"	"group"
"377"	"C0005956"	"Bone Marrow Diseases"	"group"
"378"	"C0005967"	"Bone neoplasms"	"group"
"379"	"C0005974"	"Bone Resorption"	"phenotype"
"380"	"C0006008"	"Border Disease"	"disease"
"381"	"C0006009"	"Borderline intellectual disability"	"disease"
"382"	"C0006012"	"Borderline Personality Disorder"	"disease"
"383"	"C0006015"	"Bordetella Infections"	"group"
"384"	"C0006023"	"Borna Disease"	"disease"
"385"	"C0006035"	"Borrelia Infections"	"group"
"386"	"C0006060"	"Boutonneuse Fever"	"disease"
"387"	"C0006079"	"Bowen's Disease"	"disease"
"388"	"C0006091"	"Brachial plexus lesion"	"disease"
"389"	"C0006105"	"Brain Abscess"	"disease"
"390"	"C0006109"	"Brain Damage, Chronic"	"disease"
"391"	"C0006110"	"Brain Death"	"phenotype"
"392"	"C0006111"	"Brain Diseases"	"group"
"393"	"C0006112"	"Brain Diseases, Metabolic"	"group"
"394"	"C0006114"	"Cerebral Edema"	"phenotype"
"395"	"C0006118"	"Brain Neoplasms"	"group"
"396"	"C0006131"	"Branchioma"	"disease"
"397"	"C0006142"	"Malignant neoplasm of breast"	"disease"
"398"	"C0006144"	"Breast Cyst"	"disease"
"399"	"C0006145"	"Breast Diseases"	"group"
"400"	"C0006157"	"Breech Presentation"	"phenotype"
"401"	"C0006160"	"Brenner Tumor"	"disease"
"402"	"C0006261"	"Bronchial Diseases"	"group"
"403"	"C0006262"	"Bronchial Fistula"	"disease"
"404"	"C0006264"	"Bronchial Neoplasms"	"group"
"405"	"C0006266"	"Bronchospasm"	"disease"
"406"	"C0006267"	"Bronchiectasis"	"disease"
"407"	"C0006271"	"Bronchiolitis"	"disease"
"408"	"C0006272"	"Bronchiolitis Obliterans"	"disease"
"409"	"C0006274"	"Bronchiolitis, Viral"	"disease"
"410"	"C0006277"	"Bronchitis"	"disease"
"411"	"C0006281"	"Congenital bronchogenic cyst"	"disease"
"412"	"C0006285"	"Bronchopneumonia"	"disease"
"413"	"C0006287"	"Bronchopulmonary Dysplasia"	"disease"
"414"	"C0006288"	"Bronchopulmonary Sequestration"	"disease"
"415"	"C0006309"	"Brucellosis"	"disease"
"416"	"C0006325"	"Bruxism"	"phenotype"
"417"	"C0006370"	"Bulimia"	"disease"
"418"	"C0006384"	"Bundle-Branch Block"	"disease"
"419"	"C0006386"	"Bunion"	"disease"
"420"	"C0006413"	"Burkitt Lymphoma"	"disease"
"421"	"C0006430"	"Burning Mouth Syndrome"	"disease"
"422"	"C0006444"	"Bursitis"	"disease"
"423"	"C0006542"	"Byssinosis"	"disease"
"424"	"C0006625"	"Cachexia"	"phenotype"
"425"	"C0006635"	"Cadmium poisoning"	"disease"
"426"	"C0006663"	"Calcinosis"	"phenotype"
"427"	"C0006664"	"Calcinosis cutis"	"disease"
"428"	"C0006666"	"Calciphylaxis"	"disease"
"429"	"C0006705"	"Calcium Metabolism Disorders"	"group"
"430"	"C0006818"	"Campylobacter infection"	"disease"
"431"	"C0006826"	"Malignant Neoplasms"	"group"
"432"	"C0006840"	"Candidiasis"	"disease"
"433"	"C0006845"	"Candidiasis, Chronic Mucocutaneous"	"disease"
"434"	"C0006846"	"Cutaneous Candidiasis"	"disease"
"435"	"C0006848"	"Mucocutaneous candidiasis"	"disease"
"436"	"C0006849"	"Oral candidiasis"	"disease"
"437"	"C0006852"	"Candidiasis of vagina"	"disease"
"438"	"C0006868"	"Cannabis Abuse"	"disease"
"439"	"C0006870"	"Cannabis Dependence"	"disease"
"440"	"C0006897"	"Capillariasis"	"disease"
"441"	"C0006902"	"Capillaritis"	"disease"
"442"	"C0006905"	"Capillary Fragility"	"disease"
"443"	"C0006915"	"Caplan Syndrome"	"disease"
"444"	"C0007001"	"Carbohydrate Metabolism, Inborn Errors"	"group"
"445"	"C0007020"	"Carbon Monoxide Poisoning"	"disease"
"446"	"C0007093"	"Carcinoid Heart Disease"	"disease"
"447"	"C0007095"	"Carcinoid Tumor"	"phenotype"
"448"	"C0007097"	"Carcinoma"	"group"
"449"	"C0007102"	"Malignant tumor of colon"	"disease"
"450"	"C0007103"	"Malignant neoplasm of endometrium"	"disease"
"451"	"C0007104"	"Female Breast Carcinoma"	"disease"
"452"	"C0007107"	"Malignant neoplasm of larynx"	"disease"
"453"	"C0007112"	"Adenocarcinoma of prostate"	"disease"
"454"	"C0007113"	"Rectal Carcinoma"	"disease"
"455"	"C0007114"	"Malignant neoplasm of skin"	"disease"
"456"	"C0007115"	"Malignant neoplasm of thyroid"	"disease"
"457"	"C0007117"	"Basal cell carcinoma"	"disease"
"458"	"C0007118"	"Carcinoma, Basosquamous"	"disease"
"459"	"C0007120"	"Bronchioloalveolar Adenocarcinoma"	"disease"
"460"	"C0007121"	"Bronchogenic Carcinoma"	"disease"
"461"	"C0007124"	"Noninfiltrating Intraductal Carcinoma"	"disease"
"462"	"C0007125"	"Carcinoma, Ehrlich Tumor"	"disease"
"463"	"C0007129"	"Merkel cell carcinoma"	"disease"
"464"	"C0007130"	"Mucinous Adenocarcinoma"	"disease"
"465"	"C0007131"	"Non-Small Cell Lung Carcinoma"	"disease"
"466"	"C0007133"	"Carcinoma, Papillary"	"disease"
"467"	"C0007134"	"Renal Cell Carcinoma"	"disease"
"468"	"C0007135"	"Adenocarcinoma, Scirrhous"	"disease"
"469"	"C0007137"	"Squamous cell carcinoma"	"disease"
"470"	"C0007138"	"Carcinoma, Transitional Cell"	"disease"
"471"	"C0007140"	"Carcinosarcoma"	"disease"
"472"	"C0007166"	"Low Cardiac Output"	"phenotype"
"473"	"C0007177"	"Cardiac Tamponade"	"disease"
"474"	"C0007192"	"Cardiomyopathy, Alcoholic"	"disease"
"475"	"C0007193"	"Cardiomyopathy, Dilated"	"group"
"476"	"C0007194"	"Hypertrophic Cardiomyopathy"	"disease"
"477"	"C0007196"	"Restrictive cardiomyopathy"	"disease"
"478"	"C0007222"	"Cardiovascular Diseases"	"group"
"479"	"C0007273"	"Carotid Artery Diseases"	"group"
"480"	"C0007274"	"Carotid Artery Thrombosis"	"disease"
"481"	"C0007279"	"Carotid Body Paraganglioma"	"disease"
"482"	"C0007282"	"Carotid Stenosis"	"disease"
"483"	"C0007286"	"Carpal Tunnel Syndrome"	"disease"
